id_producto;Nombre;Precio;id_categoria
68;ACADEMY BETRAYED;16.99;10
69;ACADEMY BEVERLY;20.99;8
70;ACADEMY BIKINI;11.99;4
71;ACADEMY BILKO;15.99;8
72;ACADEMY BILL;9.99;6
73;ACADEMY BINGO;13.99;11
74;ACADEMY BIRCH;24.99;2
75;ACADEMY BIRD;17.99;6
76;ACADEMY BIRDCAGE;17.99;9
77;ACADEMY BIRDS;28.99;5
78;ACADEMY BLACKOUT;9.99;12
79;ACADEMY BLADE;17.99;10
80;ACADEMY BLANKET;9.99;13
81;ACADEMY BLINDNESS;20.99;4
82;ACADEMY BLOOD;27.99;5
83;ACADEMY BLUES;15.99;11
84;ACADEMY BOILED;23.99;3
85;ACADEMY BONNIE;20.99;7
86;ACADEMY BOOGIE;28.99;4
87;ACADEMY BOONDOCK;21.99;16
88;ACADEMY BORN;21.99;15
89;ACADEMY BORROWERS;21.99;13
90;ACADEMY BOULEVARD;22.99;13
91;ACADEMY BOUND;12.99;10
92;ACADEMY BOWFINGER;19.99;12
93;ACADEMY BRANNIGAN;17.99;9
94;ACADEMY BRAVEHEART;17.99;3
95;ACADEMY BREAKFAST;18.99;10
96;ACADEMY BREAKING;21.99;1
97;ACADEMY BRIDE;18.99;11
98;ACADEMY BRIGHT;25.99;16
99;ACADEMY BRINGING;18.99;4
100;ACADEMY BROOKLYN;25.99;3
101;ACADEMY BROTHERHOOD;17.99;13
102;ACADEMY BUBBLE;16.99;10
103;ACADEMY BUCKET;11.99;4
104;ACADEMY BUGSY;21.99;11
105;ACADEMY BULL;16.99;10
106;ACADEMY BULWORTH;28.99;10
107;ACADEMY BUNCH;29.99;8
108;ACADEMY BUTCH;24.99;15
109;ACADEMY BUTTERFLY;22.99;16
110;ACADEMY CABIN;13.99;3
111;ACADEMY CADDYSHACK;9.99;3
112;ACADEMY CALENDAR;11.99;8
113;ACADEMY CALIFORNIA;15.99;7
114;ACADEMY CAMELOT;18.99;10
115;ACADEMY CAMPUS;19.99;6
116;ACADEMY CANDIDATE;22.99;12
117;ACADEMY CANDLES;23.99;13
118;ACADEMY CANYON;12.99;13
119;ACADEMY CAPER;11.99;2
120;ACADEMY CARIBBEAN;28.99;15
121;ACADEMY CAROL;19.99;10
122;ACADEMY CARRIE;13.99;9
123;ACADEMY CASABLANCA;16.99;9
124;ACADEMY CASPER;22.99;7
125;ACADEMY CASSIDY;24.99;12
126;ACADEMY CASUALTIES;21.99;1
127;ACADEMY CAT;14.99;9
128;ACADEMY CATCH;26.99;15
129;ACADEMY CAUSE;9.99;6
130;ACADEMY CELEBRITY;19.99;5
131;ACADEMY CENTER;9.99;4
132;ACADEMY CHAINSAW;29.99;12
133;ACADEMY CHAMBER;9.99;8
134;ACADEMY CHAMPION;25.99;12
135;ACADEMY CHANCE;10.99;5
136;ACADEMY CHAPLIN;11.99;3
137;ACADEMY CHARADE;18.99;6
138;ACADEMY CHARIOTS;16.99;10
139;ACADEMY CHASING;13.99;2
140;ACADEMY CHEAPER;11.99;5
141;ACADEMY CHICAGO;12.99;7
142;ACADEMY CHICKEN;18.99;1
143;ACADEMY CHILL;27.99;13
144;ACADEMY CHINATOWN;11.99;9
145;ACADEMY CHISUM;17.99;11
146;ACADEMY CHITTY;16.99;15
147;ACADEMY CHOCOLAT;28.99;13
148;ACADEMY CHOCOLATE;22.99;12
149;ACADEMY CHRISTMAS;21.99;11
150;ACADEMY CIDER;24.99;4
151;ACADEMY CINCINATTI;11.99;6
152;ACADEMY CIRCUS;28.99;4
153;ACADEMY CITIZEN;15.99;13
154;ACADEMY CLASH;22.99;14
155;ACADEMY CLEOPATRA;21.99;13
156;ACADEMY CLERKS;12.99;5
157;ACADEMY CLOCKWORK;11.99;8
158;ACADEMY CLONES;24.99;10
159;ACADEMY CLOSER;10.99;7
160;ACADEMY CLUB;18.99;15
161;ACADEMY CLUE;11.99;4
162;ACADEMY CLUELESS;11.99;8
163;ACADEMY CLYDE;25.99;1
164;ACADEMY COAST;25.99;3
165;ACADEMY COLDBLOODED;23.99;4
166;ACADEMY COLOR;13.99;15
167;ACADEMY COMA;20.99;11
168;ACADEMY COMANCHEROS;9.99;12
169;ACADEMY COMFORTS;22.99;12
170;ACADEMY COMMAND;10.99;9
171;ACADEMY COMMANDMENTS;14.99;15
172;ACADEMY CONEHEADS;25.99;8
173;ACADEMY CONFESSIONS;29.99;7
174;ACADEMY CONFIDENTIAL;17.99;3
175;ACADEMY CONFUSED;10.99;12
176;ACADEMY CONGENIALITY;17.99;15
177;ACADEMY CONNECTICUT;18.99;13
178;ACADEMY CONNECTION;13.99;10
179;ACADEMY CONQUERER;17.99;2
180;ACADEMY CONSPIRACY;27.99;15
181;ACADEMY CONTACT;29.99;15
182;ACADEMY CONTROL;14.99;4
183;ACADEMY CONVERSATION;14.99;12
184;ACADEMY CORE;18.99;16
185;ACADEMY COWBOY;14.99;6
186;ACADEMY CRAFT;9.99;3
187;ACADEMY CRANES;22.99;1
188;ACADEMY CRAZY;20.99;11
189;ACADEMY CREATURES;27.99;4
190;ACADEMY CREEPERS;29.99;14
191;ACADEMY CROOKED;22.99;4
192;ACADEMY CROSSING;23.99;9
193;ACADEMY CROSSROADS;27.99;10
194;ACADEMY CROW;12.99;12
195;ACADEMY CROWDS;9.99;11
196;ACADEMY CRUELTY;11.99;4
197;ACADEMY CRUSADE;14.99;12
198;ACADEMY CRYSTAL;17.99;15
199;ACADEMY CUPBOARD;27.99;2
200;ACADEMY CURTAIN;18.99;4
201;ACADEMY CYCLONE;22.99;15
202;ACADEMY DADDY;15.99;13
203;ACADEMY DAISY;11.99;14
204;ACADEMY DALMATIONS;19.99;10
205;ACADEMY DANCES;13.99;13
206;ACADEMY DANCING;25.99;14
207;ACADEMY DANGEROUS;15.99;13
208;ACADEMY DARES;21.99;1
209;ACADEMY DARKNESS;24.99;16
210;ACADEMY DARKO;27.99;3
211;ACADEMY DARLING;17.99;14
212;ACADEMY DARN;11.99;9
213;ACADEMY DATE;9.99;5
214;ACADEMY DAUGHTER;18.99;12
215;ACADEMY DAWN;27.99;2
216;ACADEMY DAY;11.99;4
217;ACADEMY DAZED;29.99;2
218;ACADEMY DECEIVER;17.99;3
219;ACADEMY DEEP;12.99;15
220;ACADEMY DEER;17.99;12
221;ACADEMY DELIVERANCE;19.99;7
222;ACADEMY DESERT;16.99;10
223;ACADEMY DESIRE;28.99;2
224;ACADEMY DESPERATE;17.99;6
225;ACADEMY DESTINATION;20.99;12
226;ACADEMY DESTINY;9.99;12
227;ACADEMY DETAILS;9.99;16
228;ACADEMY DETECTIVE;14.99;6
229;ACADEMY DEVIL;20.99;12
230;ACADEMY DIARY;18.99;2
231;ACADEMY DINOSAUR;20.99;9
232;ACADEMY DIRTY;24.99;10
233;ACADEMY DISCIPLE;20.99;1
234;ACADEMY DISTURBING;20.99;13
235;ACADEMY DIVIDE;28.99;1
236;ACADEMY DIVINE;23.99;12
237;ACADEMY DIVORCE;18.99;7
238;ACADEMY DOCTOR;18.99;2
239;ACADEMY DOGMA;20.99;9
240;ACADEMY DOLLS;20.99;16
241;ACADEMY DONNIE;18.99;13
242;ACADEMY DOOM;9.99;9
243;ACADEMY DOORS;24.99;16
244;ACADEMY DORADO;11.99;9
245;ACADEMY DOUBLE;17.99;1
246;ACADEMY DOUBTFIRE;13.99;10
247;ACADEMY DOWNHILL;26.99;13
248;ACADEMY DOZEN;24.99;3
249;ACADEMY DRACULA;16.99;4
250;ACADEMY DRAGON;11.99;10
251;ACADEMY DRAGONFLY;13.99;12
252;ACADEMY DREAM;15.99;5
253;ACADEMY DRIFTER;25.99;13
254;ACADEMY DRIVER;14.99;13
255;ACADEMY DRIVING;16.99;14
256;ACADEMY DROP;29.99;9
257;ACADEMY DRUMLINE;26.99;4
258;ACADEMY DRUMS;10.99;13
259;ACADEMY DUCK;14.99;7
260;ACADEMY DUDE;14.99;15
261;ACADEMY DUFFEL;9.99;13
262;ACADEMY DUMBO;12.99;4
263;ACADEMY DURHAM;26.99;11
264;ACADEMY DWARFS;25.99;8
265;ACADEMY DYING;9.99;2
266;ACADEMY DYNAMITE;27.99;12
267;ACADEMY EAGLES;20.99;12
268;ACADEMY EARLY;23.99;10
269;ACADEMY EARRING;13.99;10
270;ACADEMY EARTH;27.99;11
271;ACADEMY EASY;12.99;4
272;ACADEMY EDGE;29.99;11
273;ACADEMY EFFECT;16.99;16
274;ACADEMY EGG;27.99;3
275;ACADEMY EGYPT;19.99;11
276;ACADEMY ELEMENT;23.99;10
277;ACADEMY ELEPHANT;15.99;14
278;ACADEMY ELF;11.99;3
279;ACADEMY ELIZABETH;14.99;16
280;ACADEMY EMPIRE;15.99;11
281;ACADEMY ENCINO;12.99;4
282;ACADEMY ENCOUNTERS;18.99;16
283;ACADEMY ENDING;19.99;2
284;ACADEMY ENEMY;14.99;6
285;ACADEMY ENGLISH;20.99;7
286;ACADEMY ENOUGH;18.99;8
287;ACADEMY ENTRAPMENT;21.99;10
288;ACADEMY ESCAPE;10.99;8
289;ACADEMY EVE;27.99;14
290;ACADEMY EVERYONE;11.99;2
291;ACADEMY EVOLUTION;23.99;8
292;ACADEMY EXCITEMENT;26.99;9
293;ACADEMY EXORCIST;26.99;15
294;ACADEMY EXPECATIONS;22.99;12
295;ACADEMY EXPENDABLE;26.99;13
296;ACADEMY EXPRESS;26.99;2
297;ACADEMY EXTRAORDINARY;11.99;3
298;ACADEMY EYES;12.99;2
299;ACADEMY FACTORY;22.99;15
300;ACADEMY FALCON;15.99;11
301;ACADEMY FAMILY;25.99;4
302;ACADEMY FANTASIA;27.99;8
303;ACADEMY FANTASY;11.99;10
304;ACADEMY FARGO;23.99;9
305;ACADEMY FATAL;28.99;8
306;ACADEMY FEATHERS;25.99;4
307;ACADEMY FELLOWSHIP;19.99;6
308;ACADEMY FERRIS;26.99;1
309;ACADEMY FEUD;19.99;13
310;ACADEMY FEVER;15.99;13
311;ACADEMY FICTION;29.99;1
312;ACADEMY FIDDLER;16.99;1
313;ACADEMY FIDELITY;14.99;2
314;ACADEMY FIGHT;19.99;2
315;ACADEMY FINDING;19.99;2
316;ACADEMY FIRE;27.99;1
317;ACADEMY FIREBALL;15.99;14
318;ACADEMY FIREHOUSE;12.99;4
319;ACADEMY FISH;9.99;4
320;ACADEMY FLAMINGOS;12.99;3
321;ACADEMY FLASH;20.99;15
322;ACADEMY FLATLINERS;17.99;16
323;ACADEMY FLIGHT;29.99;7
324;ACADEMY FLINTSTONES;10.99;15
325;ACADEMY FLOATS;12.99;15
326;ACADEMY FLYING;10.99;4
327;ACADEMY FOOL;9.99;11
328;ACADEMY FOREVER;11.99;8
329;ACADEMY FORREST;24.99;3
330;ACADEMY FORRESTER;13.99;7
331;ACADEMY FORWARD;29.99;12
332;ACADEMY FRANKENSTEIN;11.99;14
333;ACADEMY FREAKY;14.99;3
334;ACADEMY FREDDY;12.99;9
335;ACADEMY FREEDOM;10.99;5
336;ACADEMY FRENCH;25.99;10
337;ACADEMY FRIDA;27.99;4
338;ACADEMY FRISCO;16.99;2
339;ACADEMY FROGMEN;22.99;9
340;ACADEMY FRONTIER;21.99;11
341;ACADEMY FROST;19.99;8
342;ACADEMY FUGITIVE;9.99;14
343;ACADEMY FULL;23.99;3
344;ACADEMY FURY;18.99;12
345;ACADEMY GABLES;21.99;10
346;ACADEMY GALAXY;17.99;10
347;ACADEMY GAMES;11.99;16
348;ACADEMY GANDHI;21.99;15
349;ACADEMY GANGS;22.99;6
350;ACADEMY GARDEN;29.99;13
351;ACADEMY GASLIGHT;16.99;5
352;ACADEMY GATHERING;13.99;15
353;ACADEMY GENTLEMEN;25.99;3
354;ACADEMY GHOST;9.99;10
355;ACADEMY GHOSTBUSTERS;19.99;13
356;ACADEMY GIANT;10.99;13
357;ACADEMY GILBERT;9.99;15
358;ACADEMY GILMORE;20.99;9
359;ACADEMY GLADIATOR;25.99;12
360;ACADEMY GLASS;19.99;3
361;ACADEMY GLEAMING;13.99;5
362;ACADEMY GLORY;21.99;11
363;ACADEMY GO;15.99;3
364;ACADEMY GODFATHER;14.99;10
365;ACADEMY GOLD;25.99;2
366;ACADEMY GOLDFINGER;29.99;6
367;ACADEMY GOLDMINE;23.99;3
368;ACADEMY GONE;24.99;14
369;ACADEMY GOODFELLAS;23.99;3
370;ACADEMY GORGEOUS;27.99;6
371;ACADEMY GOSFORD;9.99;14
372;ACADEMY GRACELAND;9.99;8
373;ACADEMY GRADUATE;13.99;13
374;ACADEMY GRAFFITI;23.99;16
375;ACADEMY GRAIL;26.99;5
376;ACADEMY GRAPES;24.99;15
377;ACADEMY GREASE;10.99;10
378;ACADEMY GREATEST;26.99;13
379;ACADEMY GREEDY;20.99;10
380;ACADEMY GREEK;11.99;1
381;ACADEMY GRINCH;27.99;11
382;ACADEMY GRIT;21.99;13
383;ACADEMY GROOVE;23.99;15
384;ACADEMY GROSSE;27.99;11
385;ACADEMY GROUNDHOG;23.99;3
386;ACADEMY GUMP;16.99;8
387;ACADEMY GUN;27.99;6
388;ACADEMY GUNFIGHT;19.99;16
389;ACADEMY GUNFIGHTER;10.99;9
390;ACADEMY GUYS;11.99;14
391;ACADEMY HALF;17.99;11
392;ACADEMY HALL;18.99;3
393;ACADEMY HALLOWEEN;24.99;7
394;ACADEMY HAMLET;28.99;7
395;ACADEMY HANDICAP;11.99;13
396;ACADEMY HANGING;11.99;1
397;ACADEMY HANKY;14.99;5
398;ACADEMY HANOVER;18.99;12
399;ACADEMY HAPPINESS;23.99;4
400;ACADEMY HARDLY;15.99;11
401;ACADEMY HAROLD;15.99;6
402;ACADEMY HARPER;13.99;8
403;ACADEMY HARRY;28.99;6
404;ACADEMY HATE;15.99;7
405;ACADEMY HAUNTED;18.99;12
406;ACADEMY HAUNTING;29.99;11
407;ACADEMY HAWK;16.99;14
408;ACADEMY HEAD;13.99;1
409;ACADEMY HEARTBREAKERS;24.99;11
410;ACADEMY HEAVEN;17.99;7
411;ACADEMY HEAVENLY;10.99;16
412;ACADEMY HEAVYWEIGHTS;21.99;14
413;ACADEMY HEDWIG;18.99;9
414;ACADEMY HELLFIGHTERS;23.99;13
415;ACADEMY HIGH;10.99;15
416;ACADEMY HIGHBALL;19.99;8
417;ACADEMY HILLS;24.99;8
418;ACADEMY HOBBIT;19.99;11
419;ACADEMY HOCUS;15.99;4
420;ACADEMY HOLES;10.99;16
421;ACADEMY HOLIDAY;14.99;15
422;ACADEMY HOLLOW;12.99;2
423;ACADEMY HOLLYWOOD;16.99;15
424;ACADEMY HOLOCAUST;20.99;11
425;ACADEMY HOLY;17.99;11
426;ACADEMY HOME;9.99;4
427;ACADEMY HOMEWARD;27.99;16
428;ACADEMY HOMICIDE;26.99;5
429;ACADEMY HONEY;14.99;15
430;ACADEMY HOOK;28.99;11
431;ACADEMY HOOSIERS;28.99;4
432;ACADEMY HOPE;25.99;11
433;ACADEMY HORN;12.99;2
434;ACADEMY HORROR;18.99;9
435;ACADEMY HOTEL;21.99;3
436;ACADEMY HOURS;10.99;16
437;ACADEMY HOUSE;18.99;4
438;ACADEMY HUMAN;25.99;1
439;ACADEMY HUNCHBACK;22.99;2
440;ACADEMY HUNGER;20.99;15
441;ACADEMY HUNTER;19.99;1
442;ACADEMY HUNTING;18.99;16
443;ACADEMY HURRICANE;16.99;14
444;ACADEMY HUSTLER;14.99;14
445;ACADEMY HYDE;13.99;14
446;ACADEMY HYSTERICAL;21.99;7
447;ACADEMY ICE;17.99;12
448;ACADEMY IDAHO;11.99;9
449;ACADEMY IDENTITY;27.99;7
450;ACADEMY IDOLS;29.99;1
451;ACADEMY IGBY;11.99;6
452;ACADEMY ILLUSION;10.99;5
453;ACADEMY IMAGE;27.99;15
454;ACADEMY IMPACT;21.99;12
455;ACADEMY IMPOSSIBLE;10.99;2
456;ACADEMY INCH;16.99;3
457;ACADEMY INDEPENDENCE;19.99;3
458;ACADEMY INDIAN;10.99;14
459;ACADEMY INFORMER;25.99;7
460;ACADEMY INNOCENT;14.99;8
461;ACADEMY INSECTS;17.99;8
462;ACADEMY INSIDER;29.99;11
463;ACADEMY INSTINCT;19.99;13
464;ACADEMY INTENTIONS;21.99;5
465;ACADEMY INTERVIEW;12.99;3
466;ACADEMY INTOLERABLE;18.99;8
467;ACADEMY INTRIGUE;13.99;5
468;ACADEMY INVASION;17.99;5
469;ACADEMY IRON;12.99;8
470;ACADEMY ISHTAR;15.99;2
471;ACADEMY ISLAND;9.99;15
472;ACADEMY ITALIAN;9.99;1
473;ACADEMY JACKET;18.99;9
474;ACADEMY JADE;10.99;14
475;ACADEMY JAPANESE;10.99;1
476;ACADEMY JASON;29.99;10
477;ACADEMY JAWBREAKER;13.99;10
478;ACADEMY JAWS;9.99;13
479;ACADEMY JEDI;15.99;7
480;ACADEMY JEEPERS;16.99;4
481;ACADEMY JEKYLL;13.99;15
482;ACADEMY JEOPARDY;12.99;15
483;ACADEMY JERICHO;19.99;5
484;ACADEMY JERK;9.99;5
485;ACADEMY JERSEY;12.99;16
486;ACADEMY JET;15.99;16
487;ACADEMY JINGLE;23.99;4
488;ACADEMY JOON;27.99;12
489;ACADEMY JUGGLER;22.99;10
490;ACADEMY JUMANJI;15.99;4
491;ACADEMY JUMPING;25.99;16
492;ACADEMY JUNGLE;18.99;12
493;ACADEMY KANE;21.99;3
494;ACADEMY KARATE;12.99;13
495;ACADEMY KENTUCKIAN;24.99;2
496;ACADEMY KICK;13.99;8
497;ACADEMY KILL;14.99;3
498;ACADEMY KILLER;21.99;11
499;ACADEMY KING;27.99;10
500;ACADEMY KISS;20.99;10
501;ACADEMY KISSING;9.99;1
502;ACADEMY KNOCK;22.99;14
503;ACADEMY KRAMER;12.99;3
504;ACADEMY KWAI;23.99;8
505;ACADEMY LABYRINTH;9.99;8
506;ACADEMY LADY;14.99;11
507;ACADEMY LADYBUGS;21.99;11
508;ACADEMY LAMBS;20.99;8
509;ACADEMY LANGUAGE;22.99;6
510;ACADEMY LAWLESS;21.99;12
511;ACADEMY LAWRENCE;17.99;16
512;ACADEMY LEAGUE;10.99;1
513;ACADEMY LEATHERNECKS;24.99;13
514;ACADEMY LEBOWSKI;27.99;10
515;ACADEMY LEGALLY;9.99;8
516;ACADEMY LEGEND;21.99;1
517;ACADEMY LESSON;14.99;12
518;ACADEMY LIAISONS;22.99;14
519;ACADEMY LIBERTY;10.99;15
520;ACADEMY LICENSE;22.99;13
521;ACADEMY LIES;13.99;10
522;ACADEMY LIFE;14.99;15
523;ACADEMY LIGHTS;12.99;14
524;ACADEMY LION;10.99;13
525;ACADEMY LOATHING;15.99;11
526;ACADEMY LOCK;15.99;9
527;ACADEMY LOLA;29.99;2
528;ACADEMY LOLITA;27.99;16
529;ACADEMY LONELY;15.99;8
530;ACADEMY LORD;24.99;4
531;ACADEMY LOSE;21.99;14
532;ACADEMY LOSER;15.99;8
533;ACADEMY LOST;12.99;5
534;ACADEMY LOUISIANA;25.99;12
535;ACADEMY LOVE;19.99;8
536;ACADEMY LOVELY;14.99;10
537;ACADEMY LOVER;28.99;12
538;ACADEMY LOVERBOY;29.99;1
539;ACADEMY LUCK;20.99;15
540;ACADEMY LUCKY;9.99;1
541;ACADEMY LUKE;29.99;14
542;ACADEMY LUST;14.99;13
543;ACADEMY MADIGAN;17.99;9
544;ACADEMY MADISON;20.99;16
545;ACADEMY MADNESS;13.99;10
546;ACADEMY MADRE;21.99;5
547;ACADEMY MAGIC;15.99;13
548;ACADEMY MAGNIFICENT;18.99;7
549;ACADEMY MAGNOLIA;17.99;9
550;ACADEMY MAGUIRE;16.99;14
551;ACADEMY MAIDEN;23.99;8
552;ACADEMY MAJESTIC;12.99;7
553;ACADEMY MAKER;29.99;1
554;ACADEMY MALKOVICH;9.99;1
555;ACADEMY MALLRATS;23.99;10
556;ACADEMY MALTESE;19.99;7
557;ACADEMY MANCHURIAN;27.99;2
558;ACADEMY MANNEQUIN;17.99;3
559;ACADEMY MARRIED;11.99;2
560;ACADEMY MARS;18.99;1
561;ACADEMY MASK;24.99;10
562;ACADEMY MASKED;23.99;9
563;ACADEMY MASSACRE;19.99;9
564;ACADEMY MASSAGE;23.99;1
565;ACADEMY MATRIX;14.99;13
566;ACADEMY MAUDE;24.99;8
567;ACADEMY MEET;16.99;15
568;ACADEMY MEMENTO;18.99;3
569;ACADEMY MENAGERIE;16.99;3
570;ACADEMY MERMAID;23.99;16
571;ACADEMY METAL;25.99;3
572;ACADEMY METROPOLIS;10.99;2
573;ACADEMY MICROCOSMOS;29.99;11
574;ACADEMY MIDNIGHT;11.99;8
575;ACADEMY MIDSUMMER;17.99;2
576;ACADEMY MIGHTY;11.99;9
577;ACADEMY MILE;17.99;15
578;ACADEMY MILLION;12.99;5
579;ACADEMY MINDS;16.99;8
580;ACADEMY MINE;19.99;7
581;ACADEMY MINORITY;11.99;15
582;ACADEMY MIRACLE;27.99;13
583;ACADEMY MISSION;23.99;13
584;ACADEMY MIXED;27.99;16
585;ACADEMY MOB;20.99;12
586;ACADEMY MOCKINGBIRD;14.99;16
587;ACADEMY MOD;24.99;3
588;ACADEMY MODEL;26.99;2
589;ACADEMY MODERN;29.99;16
590;ACADEMY MONEY;27.99;15
591;ACADEMY MONSOON;23.99;5
592;ACADEMY MONSTER;25.99;4
593;ACADEMY MONTEREY;22.99;14
594;ACADEMY MONTEZUMA;20.99;7
595;ACADEMY MOON;20.99;8
596;ACADEMY MOONSHINE;24.99;6
597;ACADEMY MOONWALKER;18.99;14
598;ACADEMY MOSQUITO;23.99;8
599;ACADEMY MOTHER;25.99;13
600;ACADEMY MOTIONS;22.99;8
601;ACADEMY MOULIN;11.99;14
602;ACADEMY MOURNING;21.99;11
603;ACADEMY MOVIE;10.99;12
604;ACADEMY MULAN;29.99;8
605;ACADEMY MULHOLLAND;29.99;9
606;ACADEMY MUMMY;21.99;5
607;ACADEMY MUPPET;23.99;11
608;ACADEMY MURDER;25.99;8
609;ACADEMY MUSCLE;18.99;5
610;ACADEMY MUSIC;23.99;12
611;ACADEMY MUSKETEERS;17.99;13
612;ACADEMY MUSSOLINI;13.99;5
613;ACADEMY MYSTIC;15.99;12
614;ACADEMY NAME;20.99;11
615;ACADEMY NASH;27.99;14
616;ACADEMY NATIONAL;14.99;7
617;ACADEMY NATURAL;28.99;9
618;ACADEMY NECKLACE;17.99;16
619;ACADEMY NEIGHBORS;29.99;4
620;ACADEMY NEMO;23.99;11
621;ACADEMY NETWORK;14.99;3
622;ACADEMY NEWSIES;9.99;11
623;ACADEMY NEWTON;12.99;1
624;ACADEMY NIGHTMARE;18.99;4
625;ACADEMY NONE;22.99;6
626;ACADEMY NOON;15.99;1
627;ACADEMY NORTH;27.99;14
628;ACADEMY NORTHWEST;28.99;11
629;ACADEMY NOTORIOUS;18.99;16
630;ACADEMY NOTTING;12.99;15
631;ACADEMY NOVOCAINE;12.99;2
632;ACADEMY NUTS;9.99;11
633;ACADEMY OCTOBER;16.99;5
634;ACADEMY ODDS;16.99;11
635;ACADEMY OKLAHOMA;25.99;9
636;ACADEMY OLEANDER;26.99;14
637;ACADEMY OPEN;14.99;2
638;ACADEMY OPERATION;19.99;7
639;ACADEMY OPPOSITE;15.99;12
640;ACADEMY OPUS;11.99;11
641;ACADEMY ORANGE;16.99;6
642;ACADEMY ORDER;18.99;8
643;ACADEMY ORIENT;17.99;4
644;ACADEMY OSCAR;28.99;16
645;ACADEMY OTHERS;16.99;13
646;ACADEMY OUTBREAK;18.99;15
647;ACADEMY OUTFIELD;26.99;4
648;ACADEMY OUTLAW;29.99;6
649;ACADEMY OZ;19.99;3
650;ACADEMY PACIFIC;14.99;6
651;ACADEMY PACKER;17.99;16
652;ACADEMY PAJAMA;29.99;7
653;ACADEMY PANIC;16.99;9
654;ACADEMY PANKY;12.99;1
655;ACADEMY PANTHER;20.99;3
656;ACADEMY PAPI;18.99;9
657;ACADEMY PARADISE;19.99;10
658;ACADEMY PARIS;9.99;10
659;ACADEMY PARK;15.99;5
660;ACADEMY PARTY;15.99;1
661;ACADEMY PAST;13.99;7
662;ACADEMY PATHS;22.99;4
663;ACADEMY PATIENT;19.99;5
664;ACADEMY PATRIOT;24.99;5
665;ACADEMY PATTON;22.99;7
666;ACADEMY PAYCHECK;17.99;11
667;ACADEMY PEACH;28.99;7
668;ACADEMY PEAK;15.99;2
669;ACADEMY PEARL;11.99;16
670;ACADEMY PELICAN;17.99;15
671;ACADEMY PERDITION;27.99;4
672;ACADEMY PERFECT;23.99;14
673;ACADEMY PERSONAL;12.99;16
674;ACADEMY PET;27.99;7
675;ACADEMY PHANTOM;24.99;16
676;ACADEMY PHILADELPHIA;18.99;7
677;ACADEMY PIANIST;17.99;1
678;ACADEMY PICKUP;26.99;5
679;ACADEMY PILOT;29.99;11
680;ACADEMY PINOCCHIO;26.99;10
681;ACADEMY PIRATES;10.99;8
682;ACADEMY PITTSBURGH;26.99;1
683;ACADEMY PITY;23.99;6
684;ACADEMY PIZZA;20.99;2
